Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type;Standard Text Value;Value
CHEMBL3612344;;;353.34;0.0;2.4;11a;O=C(Cn1cnc([N+](=O)[O-])n1)Nc1cccc(OCc2ccccc2)c1;IC50;'=';119.0;nM;6.92;;;UO_0000065;;;;;0;CHEMBL4718736;Trypanocidal activity against Trypanosoma cruzi Tulahuen C4 amastigotes intra-peritoneally infected in BALB/C mouse assessed as reduction in spleen trypomastigotes treated day 4 postinfection for 20 days;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL4715756;1;Scientific Literature;Eur J Med Chem;2016.0;;TIME = 480.0 hr;;;0.119
CHEMBL199335;;;393.42;0.0;0.85;53;CCCCP(=O)(O)CNC(=O)[C@H](CC(C)C)NC(=O)CCC(N)C(=O)O;IC50;'=';9800.0;nM;5.01;;;UO_0000065;;;;;0;CHEMBL860264;Inhibitory activity against Trypanosoma cruzi amastigotes;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1147733;1;Scientific Literature;J Med Chem;2006.0;;;;;9.8
CHEMBL201640;;;351.34;0.0;-0.32;50;CC(C)C[C@H](NC(=O)CCC(N)C(=O)O)C(=O)NCP(C)(=O)O;IC50;'>';50000.0;nM;;;;UO_0000065;;;;;0;CHEMBL860264;Inhibitory activity against Trypanosoma cruzi amastigotes;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1147733;1;Scientific Literature;J Med Chem;2006.0;;;;;50.0
CHEMBL120484;;;307.35;0.0;3.3;15;O=C(/C=C/C=C/c1ccc2c(c1)OCO2)NCc1ccccc1;IC50;;;nM;;;Not Determined;UO_0000065;;;;;0;CHEMBL812101;"In vitro growth inhibition of amastigotes of Trypanosoma cruzi; Not tested";F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1149200;1;Scientific Literature;Bioorg Med Chem Lett;2004.0;;;;;
CHEMBL372890;;;244.22;0.0;-0.05;6g;N#Cc1ccc(/C=N/Nc2nc(N)nc(N)n2)o1;IC50;'=';122000.0;nM;;Outside typical range;;UO_0000065;;;;;0;CHEMBL835872;In vitro inhibitory concentration against intracellular amastigotes of Trypanosoma cruzi in rat skeletal myoblasts incubated for 37 degree C for 4 days;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1141164;1;Scientific Literature;J Med Chem;2005.0;;;;;122.0
CHEMBL110;BENZNIDAZOLE;4.0;260.25;0.0;1.11;2;O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1;IC50;'=';2768.0;nM;5.56;;;UO_0000065;;;;;0;CHEMBL1767771;Antiparasitic activity against Trypanosoma cruzi amastigotes infected in gamma-irradiated vero cells assessed as growth inhibition by fluorescence assay;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;Vero;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1765007;1;Scientific Literature;Bioorg Med Chem;2011.0;CHEMBL3307520;;;;2.768
CHEMBL54004;;;318.24;0.0;2.13;27;CCCCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O;IC50;'>';70000.0;nM;;;;UO_0000065;;;;;0;CHEMBL812093;In vitro antiparasitic activity against Trypanosoma cruzi (amastigotes);F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1134235;1;Scientific Literature;Bioorg Med Chem Lett;2001.0;;;;;70.0
CHEMBL166;MELARSOPROL;3.0;398.35;;;Melarsoprol;Nc1nc(N)nc(Nc2ccc([As]3SCC(CO)S3)cc2)n1;IC50;'=';6.0;nM;8.22;;;UO_0000065;;;;;0;CHEMBL835872;In vitro inhibitory concentration against intracellular amastigotes of Trypanosoma cruzi in rat skeletal myoblasts incubated for 37 degree C for 4 days;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1141164;1;Scientific Literature;J Med Chem;2005.0;;;;;0.006
CHEMBL3785309;;;255.37;0.0;1.61;LpQM-13;COc1ccc(SC/C=N/NC(N)=S)cc1;IC50;'=';17380.0;nM;4.76;;;UO_0000065;;;;;0;CHEMBL3790032;Antitrypanosomal activity against intracellular amastigotes stage of recombinant Trypanosoma cruzi Tulahuen expressing beta galactosidase infected in NIH/3T3 cells assessed as growth inhibition after 4 days by HTS-ready assay;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;NIH/3T3;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL3785037;1;Scientific Literature;Bioorg Med Chem;2016.0;;;;;17.38
CHEMBL3629564;;;406.34;1.0;5.63;LpQM-03;CCC1S/C(=N/N=C(\C)c2ccc(Cl)c(Cl)c2)N(c2ccccc2)C1=O;IC50;'>';50120.0;nM;;;;UO_0000065;;;;;0;CHEMBL3790032;Antitrypanosomal activity against intracellular amastigotes stage of recombinant Trypanosoma cruzi Tulahuen expressing beta galactosidase infected in NIH/3T3 cells assessed as growth inhibition after 4 days by HTS-ready assay;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;NIH/3T3;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL3785037;1;Scientific Literature;Bioorg Med Chem;2016.0;;;;;50.12
